Center,Status,Case Number,Application SN,Title,Patent Expiration Date
NASA Ames Research Center,Issued,ARC-14744-2,"11/194,991",A Versatile Platform For Nanotechnology Based On Circular Permutations Of Chaperonin Protein,05 June 2024
NASA Ames Research Center,Issued,ARC-14940-1,"10/238,515",Bucky Paper As An Artificial Support Membrane In Retinal Cell Transplantation,06 December 2024
NASA Ames Research Center,Issued,ARC-14941-1,"10/198,672",Carbon Nanotubes As A Prototype Interface For Retinal Cell Recording And Stimulation (Vision Chip),10/18/2022
NASA Ames Research Center,Issued,ARC-14950-1,"10/928,874",Program Management Tool (PMT)  Also Known As Business Intelligence (BI),07/22/2027
NASA Ames Research Center,Issued,ARC-14950-2,"12/211,439",Enhanced Project Management Tool,10/20/2026
NASA Ames Research Center,Issued,ARC-14970-1,"10/789,049",Intelligent Weather Agent,07/20/2024
NASA Ames Research Center,Issued,ARC-15040-1,"10/457,696",Sub Auditory Speech Recognition Based On Electromyographic Signals,09/14/2025
NASA Ames Research Center,Issued,ARC-15041-2,"10/923,156",Information Display System For Atypical Flight Phase,05/21/2024
NASA Ames Research Center,Issued,ARC-15042-2,"10/816,576",Metallic Nanowire Interconnections For Integrated Circuit Fabrication,03 November 2023
NASA Ames Research Center,Issued,ARC-15058-1,"10/789,029",Inductive Monitoring System - System Health Monitoring Software That Learns System Behavior From Data (IMS),03 December 2025
NASA Ames Research Center,Issued,ARC-15073-1,"10/703,039","InvestigationOrganizer: Information Storage, Modeling And Visualization Support For Accident/Mishap Investigations  (Part Of A Suite Of Software That Includes ARC-15069, ARC-15070 And ARC-15073) ",04/30/2026
NASA Ames Research Center,Issued,ARC-15088-1,"10/608,884",Carbon Nanotube Bucky Paper Cages For Immune Shielding Of Cells And Tissue For Transplantation,09/20/2023
NASA Ames Research Center,Issued,ARC-15101-1,"10/808,704",Sample Handling Device For X-ray Diffraction Instruments,03/17/2024
NASA Ames Research Center,Issued,ARC-15157-1,"10/923,160",A Method Of Converting Quantum Wells From Type-II To Type-I And Of Enhancing Interband Optical Gain ,03 November 2025
NASA Ames Research Center,Issued,ARC-15171-1,"11/239,456",Trajectory Specification For High-Capacity Air Traffic Control,05/25/2027
NASA Ames Research Center,Issued,ARC-15173-1,"10/825,795",Embedded Carbon Nanotube Array As High Performance Thermal Conductors,03 November 2023
NASA Ames Research Center,Issued,ARC-15173-2,"11/900,131",Nanoengineered Thermal Materials Based On Carbon Nanotube Array Composites,02/16/2024
NASA Ames Research Center,Issued,ARC-15201-1,"10/779,504",Toughened Uni-piece Fibrous Reduced Oxidation Ceramic (TUFROC) Light-Weight Thermal Protection System For Use On Space Vehicles During Atmospheric Entry At Hypersonic Speed,02 December 2024
NASA Ames Research Center,Issued,ARC-15201-2,"10/911,747",Toughened Uni-piece Fibrous Reinforced Oxidation-Resistant Composite (TUFROC),02 December 2024
NASA Ames Research Center,Issued,ARC-15204-1,"10/885,537",Nanopore Pipetts For Structural Characterization Of Single Polymeric Biomelecules,01/14/2026
NASA Ames Research Center,Issued,ARC-15204-1DIV,"13/092,048",Nanopore Pipetts For Structural Characterization Of Single Polymeric Biomelecules,06/24/2024
NASA Ames Research Center,Issued,ARC-15205-1,"10/873,996",The Electrochemical Biosensors Using Carbon Nanotube Nanoelectrode Arrays,06/14/2024
NASA Ames Research Center,Issued,ARC-15312-1,"11/513,429",Context Based Configuration Management Concept,08/25/2026
NASA Ames Research Center,Issued,ARC-15314-1,"11/007,913",Provision Of Carbon Nanotube Arrays Of Variable Density For IC Hot Spot Control,02 December 2027
NASA Ames Research Center,Issued,ARC-15314-2,"11/472,516",Carbon Nanotube Growth Density Control,12 July 2024
NASA Ames Research Center,Issued,ARC-15315-1,"11/239,449",Reconfigurable Auditory-visual Display For Multi-channel Control Center And Rescue Communications,01 June 2026
NASA Ames Research Center,Issued,ARC-15356-2,"11/66,650",Display Of Aircraft Energy State For Flight Operations Quality Assurance (FOQA) Programs,09/22/2024
NASA Ames Research Center,Issued,ARC-15356-3,11/066649,Real-Time Analysis And Display Of Aircraft Approach Maneuvers ,09/22/2024
NASA Ames Research Center,Issued,ARC-15370-1,"10/956,524",Selective Access And Editing In A Database (Part of NTTS Suite),03/18/2027
NASA Ames Research Center,Issued,ARC-15392-1,"11/053,713",Delay Banking: Collaborative Decision Making For Airspace-user Priority In Tactical Flow Restrictions,04 April 2025
NASA Ames Research Center,Issued,ARC-15404-1,"11/009,854",Use Of A Single Electrode To Orient Carbon Nanotube Growth,12 July 2024
NASA Ames Research Center,Issued,ARC-15437-1,"11/340,816",Low Cost Portable Planetarium Imaging System,05/14/2027
NASA Ames Research Center,Issued,ARC-15443-1,"11/251,006",A Tracking Sunphotometer Without Moving Parts ,01/31/2026
NASA Ames Research Center,Issued,ARC-15460-1,"11/203,576",Discharge Based Gas Sensor Array Using Self-Oriented Regular Vertical Array Of Carbon Nanotubes,08 May 2025
NASA Ames Research Center,Issued,ARC-15462-1,11/340002,Finite-Difference  Simulation And Visualization Of Elastodynamics In Time-Evolving Generalized Curvilinear Coordinates ,07/29/2026
NASA Ames Research Center,Issued,ARC-15487-1,"11/111,620",Electronic Firefighter Escape Trail,06 April 2028
NASA Ames Research Center,Issued,ARC-15506-1,"11/203,589",Applications Of Carbon Nanotube Hold-Off Voltages,10/22/2026
NASA Ames Research Center,Issued,ARC-15519-1,"11/169,265",Security Applications For Subvocal Speech,11 September 2026
NASA Ames Research Center,Issued,ARC-15566-1,"11/178,079",Gas Sensors Based on Coated and Doped Carbon Nanotubes,05/26/2029
NASA Ames Research Center,Issued,ARC-15566-2,"11/416,505",Coated Or Doped Carbon Nanotube Network Sensors As Affected By Environmental Parameters And Elapsed Time,09/15/2029
NASA Ames Research Center,Issued,ARC-15566-3,"11/489,803",Nanotechnology Sensors For Determination Of Chemical Substances In An Oil Reservoir,12/17/2028
NASA Ames Research Center,Issued,ARC-15566-5,"11/591,630",Detection Of Presence Of Chemical Precursors,07 August 2025
NASA Ames Research Center,Issued,ARC-15575-1,"11/173,053",Use Of Carbon Nanotube Arrays For Display Purposes,10/24/2026
NASA Ames Research Center,Issued,ARC-15578-2,"11/525,600",Visual Signal Sensor Organ Replacement: Implementation,05/19/2028
NASA Ames Research Center,Issued,ARC-15606-1,"11/265,324",Aero Assist Capsule Vehicle Geometry For Atmospheric Entry,04 January 2026
NASA Ames Research Center,Issued,ARC-15684-1,"11/444,807",InterIssued Inventory Monitoring,05/25/2026
NASA Ames Research Center,Issued,ARC-15714-1,"11/398,733",Light Collimator And Monitor,11 November 2029
NASA Ames Research Center,Issued,ARC-15782-1,11/973998,Nanotechnology Sensor Of Presence And Concentration Of A Target Molecule,09/28/2027
NASA Ames Research Center,Issued,ARC-15796-1,"13/444,777",Motion Blur Evaluation Techniques,08/31/1932
NASA Ames Research Center,Issued,ARC-15870-1,"11/513,431",Growth Method For Phase Change Nanostructures,08/16/2027
NASA Ames Research Center,Issued,ARC-15890-1,"11/543,275",Water Treatment Systems For Long Space Flight Use,11 May 2027
NASA Ames Research Center,Issued,ARC-15900-1,"11/526,175",Wet Waste Drying Bag,09/20/2026
NASA Ames Research Center,Issued,ARC-15903-1DIV,"13/215,206",In-situ Formation Of Reinforcement Phases In Ceramic Composites And Ultra High Temperature Ceramic Composites For Advanced TPS Applications,09/28/2027
NASA Ames Research Center,Issued,ARC-15967-1,"11/645,267",Dielectrophoresis-Based Particle Sensor Using Nanoelectrode Arrays,06 June 2028
NASA Ames Research Center,Application,ARC-15977-1,"12/100,378",Artificial Immune System Based Approach For Air Combat Maneuvering,
NASA Ames Research Center,Application,ARC-15981-4,"13/463,780",Chaperonin-based Templates for Pseudo-cellulosomes with Multiple Enzymes Present,07/19/2027
NASA Ames Research Center,Issued,ARC-15983-1,"12/273,502",Radiation Shielding System Using A Composite Of Hydrogen-Rich Polymers Loaded With Carbon Nanotubes,09/30/2029
NASA Ames Research Center,Application,ARC-16478-1,"14/191,246",Real Time PIREPs Using Audio Twitter,02/26/1934
NASA Ames Research Center,Issued,ARC-15995-1,"11/958,296",A Method To Measure The Recession Of Ablative Materials In Arc-jet Testing Using Digital Stereo-photogrammetry And Image Cross-correlation,07 January 1931
NASA Ames Research Center,Issued,ARC-16013-1,"11/715,785",Wireless Chemical Sensor Data Transmission System Based On Nanotechnology,10 March 2029
NASA Ames Research Center,Issued,ARC-16018-1,"12/175,379",Atmospheric Entry Heat Shield Employing Cured Thermal Protection Material Blocks Bonded In A Large-Cell Honeycomb Matrix,07/17/2028
NASA Ames Research Center,Application,ARC-16132-1,"14/091,250",Surface Densification Of Phenolic Impregnated Carbon Ablator (PICA),11/26/1933
NASA Ames Research Center,Issued,ARC-16133-1,"12/319,918",Hollow AErothermal Ablation And Temperature (HEAT) Isotherm Sensor For Tracking Isotherm Through The TPS Material,10 September 2029
NASA Ames Research Center,Application,ARC-16211-1,"13/896,284",Low Cost Optical Fiber Solar Cell Configurations,05/16/1933
NASA Ames Research Center,Issued,ARC-16235-1,"12/543,411",Modeling-Error-Driven Performance-Seeking Direct Adaptive Control,11/18/1930
NASA Ames Research Center,Application,ARC-16273-1,"12/454,024",Decomposition Technique for Remaining Useful Life Prediction,11/18/1930
NASA Ames Research Center,Issued,ARC-16280-1,"12/316,557",Offshore membrane enclosures for dewatering Algae (OMEDA),10/15/1931
NASA Ames Research Center,Issued,ARC-16298-1,"12/398,854",Nanotechnology-Based Supercapacitor,06/29/1930
NASA Ames Research Center,Issued,ARC-16320-1,"12/622,407",Battery Prognostics using Particle Filtering Techniques,02 May 1931
NASA Ames Research Center,Issued,ARC-16331-1,"12/428,441",System to estimate visual acuity from wavefront aberrations,05/29/2029
NASA Ames Research Center,Issued,ARC-16334-1,"12/478,667",Estimation of Growth Stage and Growth Rate for Algae,06 April 2029
NASA Ames Research Center,Application,ARC-16337-1,"13/793,998",Method and Device for Biometric Subject Verification and Identification Based Upon electrocardiographic signals,03 November 1933
NASA Ames Research Center,Application,ARC-16340-1,"13/645,284",Method for formation and manufacture of carbon nanotube mesh bucky paper capsules for transplantation of cells and tissue and implantation of medical devices,10 April 1932
NASA Ames Research Center,Issued,ARC-16342-1,"12/698,996",Advanced Sensor Technology for Algal Biotechnology (ASTAB) ,12/16/1930
NASA Ames Research Center,Application,ARC-16348-1,"13/109,954",Co-Optimized Blunt-Body ReEntry Vehicle Aerothermodynamic Parametric Shape and Multi-Discipline Optimization Design Process,
NASA Ames Research Center,Issued,ARC-16351-1,"13/213,022",Hovercraft Landing System,12 July 1931
NASA Ames Research Center,Issued,ARC-16370-1,"12/574,493",Self Aligning Lug for adapting carbon fiber rods to a bolted metallic connection,05 July 1931
NASA Ames Research Center,Application,ARC-16372-1,"13/794,061",Inexpensive Cooling Systems for Devices,03 November 1933
NASA Ames Research Center,Issued,ARC-16373-1,"12/319,220",Heart Electrical Actions as Biometric Indicia,04/29/1932
NASA Ames Research Center,Application,ARC-16405-1,"14/091,236",Nanowire based piezoelectric power generation,11/26/1933
NASA Ames Research Center,Issued,ARC-16407-1,"12/622,374",Content Analysis to Detect High Stress in Oral Interviews and Text Documents,05/26/1931
NASA Ames Research Center,Application,ARC-16419-1,"13/317,034",Strobing to Mitigate Vibration for Display Legibility,10 May 1932
NASA Ames Research Center,Application,ARC-16450-1CIP,"13/720,898",Distributed Prognostics and Health Management with a  Wireless Network Architecture ,05 May 2029
NASA Ames Research Center,Application,ARC-16456-1,"13/480,917",FABRICATION OF NANOPIPETTE ARRAY FOR BIOSENSING,
NASA Ames Research Center,Application,ARC-16461-1,"13/956,218",Solar Powered CO2 Conversions with Thin Film Devices,07/31/1933
NASA Ames Research Center,Application,ARC-16466-1,"14/010,322",Combined HETC/ROCCI TPS Material for Temperatures Up To T=3200 F ,08/26/1933
NASA Ames Research Center,Application,ARC-16467-1,"13/615,202",ODVEC: Outlier Detection Via Estimating Clusters,
NASA Ames Research Center,Application,ARC-16607-1,"13/658,749",An Approach to Make Flexible Ablators that are Flexible Char Formers,10/23/1932
NASA Ames Research Center,Application,ARC-16621-1,"13/472,283",Transformable Hypersonic Aerodynamic Decelerator,12 April 1932
NASA Ames Research Center,Application,ARC-16644-1,"13/648,197",Variable Camber Continuous Aerodynamic Control Surfaces and Methods for Active Wing Shaping Control ,10 September 1932
NASA Ames Research Center,Application,ARC-16646-1,"13/485,721",A method to produce copper nanowires for interconnect applications,
NASA Ames Research Center,Application,ARC-16661-1,"13/444,789",Video acuity measurement system,
NASA Ames Research Center,Application,ARC-16697-1,"13/956,929",NTTS Search and Reporting (Part of NTTS Suite),08 January 1933
NASA Ames Research Center,Application,ARC-16707-1,"13/438,793",Ectomycorrhizal mediated remediaiton of phenolic-based contamination through use of specifically adapted ectomycorrhizal fungi and enzyme enhancement through partial defoliation of the host.,
NASA Ames Research Center,Application,ARC-16707-1CIP,"13/854,620",Ectomycorrhizal mediated remediaiton of phenolic-based contamination through use of specifically adapted ectomycorrhizal fungi and enzyme enhancement through partial defoliation of the host.,04 March 1932
NASA Ames Research Center,Application,ARC-16732-1,"13/573,924",NanoSat Launch Adapter System (NLAS),03/14/1933
NASA Ames Research Center,Application,ARC-16733-1,"13/535,884","Habitat Water Wall for Water, Solids, and Atmosphere Recycle and Reuse ",
NASA Ames Research Center,Application,ARC-16752-1,"14/179,401","Fuel-Efficient, Airport-Friendly, Multi-Speed Transport Aircraft Configuration with Novel Structural Approach",02 December 1934
NASA Ames Research Center,Application,ARC-16811-1,"13/544,752",Compliant electrode and composite materials for piezoelectric wind and mechanical energy conversions,
NASA Ames Research Center,Application,ARC-16812-1,"13/783,112",Graphene composite materials for supercapacitor electrodes   ,03 January 1933
NASA Ames Research Center,Application,ARC-16833-1,"13/747,875",Flight Deck Predictive Weather Display and Decision Support Interface ,01/23/1933
NASA Ames Research Center,Application,ARC-16844-1,"13/662,346",Adaptive control and disturbance rejection of non-minimum phase plants using residual mode filters,10/26/1932
NASA Ames Research Center,Application,ARC-16846-1,"13/707,546",Dynamic Weather Routes Tool,12 June 1932
NASA Ames Research Center,Application,ARC-16892-1A,"13/929,646",The Surface-Adhering Bioreactor (SABR): A novel microbial cell cultivation platform,06/27/1933
NASA Ames Research Center,Application,ARC-16902-1,"13/725,475",Nanosensors for medical diagnosis,12/21/1932
NASA Ames Research Center,Application,ARC-16916-1,"13/956,736",A Method for Improving Control Systems with Normalized Adaptation by Optimal Control Modification,08 January 1933
NASA Ames Research Center,Application,ARC-16924-1,"14/010,355",Aluminoborosilicate Supplement for Thermal Protection of a Re-entrant Vehicle,08/26/1933
NASA Ames Research Center,Application,ARC-16942-2,"13/659,739",A new family of low density flexible ablators,10/24/1932
NASA Armstrong Flight Research Center,Issued,DRC-001-049,"10/113,637",Adaptive Lossless Data Compression,03/26/2022
NASA Armstrong Flight Research Center,Issued,DRC-005-031,"11/288,052",Sound Shield,10/31/2025
NASA Armstrong Flight Research Center,Issued,DRC-006-001,"11/227,325",Algorithms For Autonomous Soaring,02/27/2026
NASA Armstrong Flight Research Center,Application,DRC-006-002,"11/422,554","Air Breathing,Reusable, Vertical Launch, Vertical Landing, First Stage Launch System with Off-the-Shelf Second Stage - Ram Booster",
NASA Armstrong Flight Research Center,Issued,DRC-006-005,"11/463,485",Propulsion Controlled Aircraft Computer (PCAC),08 September 2026
NASA Armstrong Flight Research Center,Issued,DRC-006-024,"11/567,118",Method for Real-Time Structure Shape Sensing,12 May 2026
NASA Armstrong Flight Research Center,Application,DRC-006-045,"11/682,969",METHOD FOR REDUCING THE REFRESH RATE OF FIBER BRAGG GRATING SENSORS,
NASA Armstrong Flight Research Center,Issued,DRC-008-001,"12/138,747",Real-time Interactive Sonic Boom Display,04/28/2030
NASA Armstrong Flight Research Center,Issued,DRC-008-023,"12/191,734",IMPROVED PROCESS FOR USING SURFACE STRAIN MEASUREMENTS TO OBTAIN OPERATIONAL LOADS FOR COMPLEX STRUCTURES,08/14/2028
NASA Armstrong Flight Research Center,Application,DRC-009-008,12/718034,Continental Digital Elevation Map Compression and Decompression Software,
NASA Armstrong Flight Research Center,Issued,DRC-009-026,13/367990,A New Peak-Seeking Control Method,02 July 2032
NASA Armstrong Flight Research Center,Application,DRC-010-042,13/463246,An apparatus and a method to eliminate polarization-induced fading from multiple fiber-optics strain sensors via signal-processing under polarization diversity detection scheme,
NASA Armstrong Flight Research Center,Application,DRC-011-002,"13/759,847",OPTICAL WAVEGUIDE BRAGG GRATING WAVELENGTH SHIFT BY LIGHT INTERACTION WITH ACTIVE MATERIAL,02 May 2033
NASA Armstrong Flight Research Center,Application,DRC-011-015,14/106947,In-situ three-dimensional shape rendering from strain values obtained through optical fiber sensors,05/31/2032
NASA Armstrong Flight Research Center,Application,DRC-012-005,13/759210,Method and apparatus of multiplexing and acquiring data from multiple optical fibers using a single data channel of an optical frequency-domain reflectrometry (OFDR) system (Revised),02 May 2033
NASA Armstrong Flight Research Center,Application,DRC-012-006,13/733364,A Novel Approach to Liquid Level Sensing Using Fiber Bragg Grating Technology,01 March 2033
NASA Armstrong Flight Research Center,Application,DRC-012-011,13/573920,Air Launch From A Towed Aircraft,07 May 2032
NASA Armstrong Flight Research Center,Issued,DRC-096-055,"09/112,067",Emergency Flight Control System Using One Engine And Fuel Transfer,07 August 2018
NASA Armstrong Flight Research Center,Issued,DRC-097-021,"08/905,777",Emergency Aircraft Lateral Controller Using Existing (non-modified) Digital Engine Computers During A System Failure For The Purpose Of Safe Landing,07/29/2017
NASA Armstrong Flight Research Center,Issued,DRC-098-001,"09/74,024",A Flutterometer Flight Test Tool,05 June 2018
NASA Goddard Space Flight Center,Application,GSC-13378-1,"07/710,633",SPLINE-LOCKING PAYLOAD FASTENER,
NASA Goddard Space Flight Center,Issued,GSC-13802-1,"08/673,859","USING A 3-D SPRAG IN RACHETING TOOLS BASED ON PAT. NO. 5,482-144",07 February 2016
NASA Goddard Space Flight Center,Issued,GSC-13817-1,"08/872,586",Empirical Mode Decomposition Method And Hilbert Spectral Analysis Algorithms,06 October 2017
NASA Goddard Space Flight Center,Issued,GSC-13817-2,"09/82,523",COMPUTER IMPLEMENTED EMPIRICAL MODE DECOMPOSITION METHOD APPARATUS AND ARTICLE OF MANUFACTURE UTILIZING CURVATURE EXTREMA,06 October 2017
NASA Goddard Space Flight Center,Issued,GSC-13817-3,"09/282,424","Empirical Mode Decomposition Apparatus, Method, And Article Of Manufacture For Analyzing Biological Signals And Performing Curve Fitting",03/31/2019
NASA Goddard Space Flight Center,Issued,GSC-13817-4,"10/73,957",Empirical Mode Decomposition For Analyzing Acoustical Signals,02/13/2022
NASA Goddard Space Flight Center,Issued,GSC-13817-5,"10/11,206","Empirical Mode Decomposition Apparatus, Method And Article Of Manufacture For Analyzing Biological Signals And Performing Curve Fitting",06 October 2017
NASA Goddard Space Flight Center,Issued,GSC-13905-1,"10/95,343",1-Way Bearing,03 January 2022
NASA Goddard Space Flight Center,Issued,GSC-13909-1,"09/150,671","Computer Implemented Empirical Mode Decomposition Method, Apparatus, And Article Of Manufacture For Two-Dimensional Signals",09 October 2018
NASA Goddard Space Flight Center,Issued,GSC-13985-1,"09/646,161",Active Antenna Combined With Non-Ferrous Current Probe.,09 December 2020
NASA Goddard Space Flight Center,Issued,GSC-14064-1,"09/804,646",Universal Fiber Optic Connector Polishing Fixture With Precision Alignment Capability,03/13/2021
NASA Goddard Space Flight Center,Issued,GSC-14207-1,"09/799,872",Gear Bearings,03 March 2021
NASA Goddard Space Flight Center,Issued,GSC-14209-1,"09/501,412",Stress Relieved Zee Electrical Interconnect,02 September 2020
NASA Goddard Space Flight Center,Issued,GSC-14213-1,"09/550,254",Estimated Spectrum Adaptive Postfilter (ESAP) And The Iterative Prepost Filtering (IPF) Algorithms,04/14/2020
NASA Goddard Space Flight Center,Issued,GSC-14236-1,"09/541,680",MEMS Devices For Spacecraft Thermal Control Applications,03/31/2020
NASA Goddard Space Flight Center,Issued,GSC-14302-1,"09/729,138",Extension Of The Empirical Mode Decomposition Method To A Time Series Of 2-Dimensional Grid Maps,11/29/2020
NASA Goddard Space Flight Center,Issued,GSC-14305-1,"09/839,147",Method For Recursive Implementation Of Hierarchical Segmentation,04/23/2021
NASA Goddard Space Flight Center,Issued,GSC-14389-1,"10/789,028",Deriving Formal Specifications And Code From Scenarios,02/25/2024
NASA Goddard Space Flight Center,Issued,GSC-14393-1,"10/385,166",Light Weight Optical Mirrors Formed In Single Crystal Silicon,03 June 2023
NASA Goddard Space Flight Center,Issued,GSC-14413-1,"10/93,621",Thrust Rollers,03 January 2022
NASA Goddard Space Flight Center,Issued,GSC-14435-1,"10/173,533",Innovative Manufacturing Procedure For Low Cost And High Quality Carbon Nanotubes,06 November 2022
NASA Goddard Space Flight Center,Issued,GSC-14480-2,"11/444,808",Gear Bearings,05/25/2026
NASA Goddard Space Flight Center,Issued,GSC-14561-1,"11/174,454",Screw-Locking Wrench,06/30/2025
NASA Goddard Space Flight Center,Issued,GSC-14562-1,"11/543,278",Stepping Flextures,09/29/2026
NASA Goddard Space Flight Center,Issued,GSC-14601-1,"10/292,952",Method For Manufacturing High Quality Carbon Nanotubes,11 August 2022
NASA Goddard Space Flight Center,Issued,GSC-14603-1,"11/122,201",Anti-Backlash Gear-Bearings,05 February 2025
NASA Goddard Space Flight Center,Issued,GSC-14608-1,"10/729,579",Time Frequency Analysis Based On Extrema Sifting,11/28/2023
NASA Goddard Space Flight Center,Issued,GSC-14616-1,"10/730,195",Conceptual Design Of A 3D Imaging Lidar For High-Resolution Mapping Of The Surface Topography Of Moons Or Planets From Space,12 May 2023
NASA Goddard Space Flight Center,Issued,GSC-14657-1,"11/109,400",Evolvable Neural Software System,04 August 2025
NASA Goddard Space Flight Center,Issued,GSC-14666-1,"10/267,092",Systems And Methods For Determining Spacecraft Orientation,10 July 2022
NASA Goddard Space Flight Center,Issued,GSC-14673-1,"10/615,365",Normalized Amplitude Hilbert Transform (NAHT):  A New Algorithm For Computing Instantaneous Frequency,07 August 2023
NASA Goddard Space Flight Center,Issued,GSC-14683-1,"11/736,874",Specular Coatings For Composite Structures,04/18/2027
NASA Goddard Space Flight Center,Issued,GSC-14762-1,"11/108,627",SMART Solar Sail,04 August 2025
NASA Goddard Space Flight Center,Issued,GSC-14777-1,"11/251,531",Large Area Vacuum Ultra-Violet Sensors,09/30/2025
NASA Goddard Space Flight Center,Issued,GSC-14793-1,"11/239,458","Pivot 2.0:  Radiation Hardened, Fast Acquisition/Weak Signal Tracking GPS Receiver",09/20/2025
NASA Goddard Space Flight Center,Issued,GSC-14807-1,"10/963,470",Application Of HHT To Financial Data Analysis For Define Volatility And Trend,10 July 2024
NASA Goddard Space Flight Center,Issued,GSC-14833-1,"11/251,004",Stability Spectrum Through Hilbert-Huang Transform,09/30/2025
NASA Goddard Space Flight Center,Issued,GSC-14845-1,"11/251,537",Demiseable Reaction Wheel Assembly,09/29/2025
NASA Goddard Space Flight Center,Issued,GSC-14871-1,"11/370,396",Template For Deposition Of Micron And Sub-micron Pointed Structures,03 June 2026
NASA Goddard Space Flight Center,Issued,GSC-14873-1,"12/872,445 ",ADR Salt Pill Design And Crystal Growth Process For Hydrated Magnetic Salts,08/31/2030
NASA Goddard Space Flight Center,Issued,GSC-14879-1,"11/469,105",Iterative-Transform Phase-Retrieval Utilizing Adaptive Diversity,08/31/2026
